id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;last_review
1888498;Casa Corsega - Luxurious Apartment;9822728;Apartments Sagrada Familia & Gracia;la Sagrada Família;Entire home/apt;142;3;22/09/2018
1889121;See Rambla de Catalunya from an Opulent Apartment;4226509;Eva;Sant Gervasi - Galvany;Entire home/apt;300;4;03/11/2018
1891083;Central cozy apartment 3B/ROOM BCN;7263547;Marc;la Dreta de l'Eixample;Entire home/apt;70;3;31/10/2018
1892264;EIXAMPLE central apartment for 3;3245354;Javier;la Nova Esquerra de l'Eixample;Entire home/apt;110;4;17/10/2018
1892540;ROOM IN THE HEART OF BARCELONA - ONLY JUL/AUG/SEP;9385317;Andrea;el Raval;Private room;39;1;26/09/2018
1899576;Charming Duplex in Glories HUTB007821;9865890;Núria;el Fort Pienc;Entire home/apt;49;2;28/07/2018
1899692;Wow! Spacious 3 bedroom 2 bathroom;299462;Stay U-Nique;la Vila de Gràcia;Entire home/apt;250;4;28/10/2018
1899976;*SUN*Attic terrace!eco-lofting WIFI;8699017;Ana;el Baix Guinardó;Entire home/apt;98;2;29/10/2018
1900055;Wow! 2 bedr apt by Sagrada Familia;299462;Stay U-Nique;la Sagrada Família;Entire home/apt;200;4;28/10/2018
1900477;Pequeño estudio 1 Barcelona Centro;9709530;Empar & Neus;el Fort Pienc;Entire home/apt;69;2;22/10/2018
1903974;Habitación personal en Barcelona;8587915;Humberto;la Nova Esquerra de l'Eixample;Private room;12;20;26/09/2018
1904316;Provença  3 habitaciones y balcon PRO5A;10704;Weflating;la Nova Esquerra de l'Eixample;Entire home/apt;85;3;07/09/2017
1904671;SPECIAL PRICE Studio Les Corts WiFi;7099685;Mercè;les Corts;Entire home/apt;78;2;25/10/2018
1905000;THE LOVE NEST;826476;Gerard;Sants;Entire home/apt;69;2;04/11/2018
1908257;Trendy, cool 4BR apartment Eixample;478821;Mich;l'Antiga Esquerra de l'Eixample;Entire home/apt;240;4;03/11/2018
1908859;MONDRIAL ROOM;9905925;Adriano;la Nova Esquerra de l'Eixample;Private room;33;2;14/10/2018
1910850;SAGRADA FAMILIA'S VIEW APARTMENT;9915110;María;la Sagrada Família;Entire home/apt;90;1;28/10/2018
1911214;Citycenter apartment by StaYourWay;9916442;Stayourway Bcn;la Dreta de l'Eixample;Entire home/apt;140;5;04/11/2018
1912521;Gracia Samsó2, 2 rooms 2-4 pax;5209719;Jordi;la Vila de Gràcia;Entire home/apt;125;2;07/06/2016
1912837;PLAZA ESPAÑ˜A C ARENAS BEAUTIFUL APT. INDEPENDENT;9922976;Isa  Y Juan;la Nova Esquerra de l'Eixample;Entire home/apt;89;5;15/10/2018
1912881;special flat in paseo de gracia;771458;Rita;la Dreta de l'Eixample;Entire home/apt;160;2;04/11/2018
1914131;Apartment on First line of the Sea - T200;1093718;Alexey;Diagonal Mar i el Front Marítim del Poblenou;Entire home/apt;140;3;15/10/2018
1915617;LetsGoBarcelona Sagrada Famila Penthouse + Terrace;3972936;Willem;la Sagrada Família;Entire home/apt;155;3;22/07/2018
1915882;LetsgoBarcelona Paseo de Gracia Duplex;3972936;Willem;la Dreta de l'Eixample;Entire home/apt;149;2;22/10/2018
1916224;Letsgo La Ramblas with private Terrace 4pax;3972936;Willem;la Dreta de l'Eixample;Entire home/apt;149;2;01/11/2018
1916297;Modern Diagonal Ave Apartment 4pax apartment;3972936;Willem;la Vila de Gràcia;Entire home/apt;85;31;19/06/2018
1916455;BIG APARTMENT NEXT TO LA PEDRERA;9938297;Alicia, Ignacio & Carlos;la Dreta de l'Eixample;Entire home/apt;285;3;21/10/2018
1916806;Sunny Terrace with views in Gracia;1369675;Javier;la Vila de Gràcia;Entire home/apt;145;2;17/09/2018
1919167;DBL room next to Catalonia Square;9206404;Diego;la Dreta de l'Eixample;Private room;30;2;19/10/2018
1919244;Lovely and very centric DBL. room!;9206404;Diego;el Raval;Private room;40;2;18/10/2018
1920941;Luxurious & Loving Apartment;9935841;Sheila;les Corts;Entire home/apt;150;3;13/07/2018
1921353;AMAZING PENTHOUSE RAMBLAS! DAILY CLEANING!;4064440;Andreas;el Raval;Entire home/apt;260;3;31/10/2018
1921392;The Real Barcelona! Beach, Culture & Foodie Heaven;9958746;Lars;el Poblenou;Entire home/apt;60;3;05/11/2018
1921402;LetsGo Barcelona Chic Paseo Gracia 5 pax Apartment;3972936;Willem;la Vila de Gràcia;Entire home/apt;176;2;18/06/2018
1926794;Tourist Double Room " the platform";3038197;Maria Antonia;la Nova Esquerra de l'Eixample;Private room;36;1;06/11/2018
1926867;FIRST LINE BEACH. 6 PAX;7758783;Luis;la Vila Olímpica del Poblenou;Entire home/apt;139;3;08/10/2018
1926997;Chic and cozy Apartment in Barcelona 1;121825;Marta;Sant Gervasi - Galvany;Entire home/apt;150;2;30/09/2018
1933025;Barcelona Reloaded;8344816;Antonio;el Camp de l'Arpa del Clot;Entire home/apt;51;2;01/11/2018
1938408;Apto cálido Gràcia 40 m2 Equipado.;10028270;Gust;la Vila de Gràcia;Entire home/apt;78;32;22/06/2018
1938831;LetsGoBarcelona Diagonal Ave. Apartment 6 pax;3972936;Willem;la Vila de Gràcia;Entire home/apt;155;2;10/10/2018
1940776;Barcelona center Close to the beach;10037079;Judith;la Vila Olímpica del Poblenou;Private room;60;3;04/11/2018
1944280;Confortable habitación privada;10056611;Eva;Sants;Private room;22;2;13/10/2018
1947779;The Sagrada Familia very close ;10072858;Anna,Dory;el Baix Guinardó;Private room;17;6;03/07/2018
1951405;Penthouse in the heart of Gràcia!;2688205;Mònica;la Vila de Gràcia;Entire home/apt;125;3;30/10/2018
1952668;Spacious loft next to the beach;10095626;Adriana;el Poblenou;Entire home/apt;130;3;17/06/2018
1957049;Single Room WiFi 15min center;3184663;Laetitia;Sants - Badal;Private room;25;4;21/10/2018
1957157;Romantic apartment;10116421;Juanjo;l'Antiga Esquerra de l'Eixample;Entire home/apt;120;2;29/10/2018
1957893;Picasso - Stylish flat near sea;3775349;Leyre;Sant Pere, Santa Caterina i la Ribera;Entire home/apt;150;32;
1958839;Designer Loft + Private Terrace ;3737066;Eric;el Fort Pienc;Entire home/apt;160;3;
1964595;BRAND NEW COZY APPARTMENT CENTRIC;2537484;Enrique;Sant Gervasi - Galvany;Entire home/apt;64;1;11/08/2018
1966739;Chic&Sunny.What else? go to see...;2366949;Jordi;les Corts;Entire home/apt;130;3;24/09/2018
1968717;Wow! Bright studio by Ps. de Gracia;299462;Stay U-Nique;la Vila de Gràcia;Entire home/apt;70;3;24/10/2018
1973410;Big bedroom with king size bed!;4325571;Kaya;Sant Antoni;Private room;45;1;26/09/2018
1978060;PRECIOSO PISO EN FIRA  PZA. ESPAÑ˜A;10209492;Pilar;la Bordeta;Entire home/apt;65;2;21/09/2018
1978145;Centric (Eixample) Modernist flat;7496141;Aav;la Dreta de l'Eixample;Private room;79;1;
1986164;PENTHOUSE TERRACE FREE wifi  HUTB005565;8964574;Lourdes;Hostafrancs;Entire home/apt;86;3;06/11/2017
1986412;Paral·lel Soul Barcelona;10091776;Oscar Y Susana;el Poble Sec;Entire home/apt;80;5;31/10/2018
1987048;Cozy design apartment in the center;2810950;Julia;Sant Pere, Santa Caterina i la Ribera;Entire home/apt;60;3;01/11/2018
1987643;El Borne Loft with Terrace!;9156769;Short Stay Group;Sant Pere, Santa Caterina i la Ribera;Entire home/apt;56;35;23/06/2017
1987751;Studio in Poblenou;10252018;Ariadna;el Poblenou;Entire home/apt;26;2;18/10/2018
1996319;Great apartment close CAMP NOU;2688205;Mònica;les Corts;Entire home/apt;115;3;07/10/2018
1996730;Nice Room at Bcn's Heart;522656;Eduardo;el Barri Gòtic;Private room;50;2;06/10/2018
2001671;Bright and lovely double room with balcony;5559536;Ivy & Javi;l'Antiga Esquerra de l'Eixample;Private room;28;3;21/10/2018
2002813;Big room in a very good area;3028710;Christian;la Dreta de l'Eixample;Private room;40;4;29/09/2018
2003655;Close to "Las Ramblas ";9991796;Jorge Armando;el Raval;Private room;37;2;04/11/2018
2005972;Apartment Sants Les Corts;8232918;Nestor;Sants;Entire home/apt;90;4;16/10/2018
2015385;Bonita y amplia habitación privada ;10056611;Eva;Sants;Private room;29;2;24/10/2018
2018305;Lesseps Apartments 2;10345559;Sergi;el Putxet i el Farró;Entire home/apt;28;1;23/10/2018
2018439;GRACIA DELUXE WITH PRIVATE TERRACE;1744516;Silvia;la Vila de Gràcia;Entire home/apt;150;3;03/10/2018
2019256;Sunny large room up to 3 pax!;10381830;Angel;el Poblenou;Private room;48;1;06/07/2018
2019384;Chic & Fashion. EIXAMPLE.;3039107;Manuel;la Dreta de l'Eixample;Entire home/apt;53;3;10/10/2018
2020602;SUMMERTIME BCN a oasis in Gracia;10386323;Teresa;el Camp d'en Grassot i Gràcia Nova;Entire home/apt;210;3;04/11/2018
2020743;FASHION AND SPACIOUS APARTMENT;10386910;Mª Pilar;la Salut;Entire home/apt;90;3;02/11/2018
2026106;Sagrada Familia Design 4;10223142;David;la Sagrada Família;Entire home/apt;200;3;04/06/2017
2029462;Center City + Free transport voucher with 10 trips;10408247;Angel;la Dreta de l'Eixample;Private room;56;3;20/10/2018
2029502;Romantic view over the port;4989233;Liina And Kash;la Barceloneta;Private room;59;4;12/10/2014
2029507;MODERN - CATHEDRAL, 4 PAX / 2 BATHS;6361457;Ramon;el Barri Gòtic;Entire home/apt;94;3;04/11/2018
2031134;Sagrada Familia-auditorium. FREE WI-FI.;9100900;Miguel;el Fort Pienc;Entire home/apt;69;2;04/11/2018
2034675;Calm in the heart of BCN;10443875;Maria;la Dreta de l'Eixample;Entire home/apt;90;2;30/10/2018
2036402;DOBLE ROOM Ã¢â‚¬Â¢ GREAT LOCATION Ã¢â‚¬Â¢ AWESOME VIEWS;7770166;José;Sant Antoni;Private room;40;2;20/10/2018
2036662;Exclusive terrasse, central BCN ;4039955;Fabrice;l'Antiga Esquerra de l'Eixample;Entire home/apt;125;2;28/10/2018
2040320;Spacious Room at Bcn's Heart;522656;Eduardo;el Barri Gòtic;Private room;55;2;08/10/2018
2041492;Studio in Born Quarter;10469973;A.Roberto;Sant Pere, Santa Caterina i la Ribera;Entire home/apt;50;3;
2044947;Room in downtown Barcelona;8681658;Ximena;el Raval;Private room;35;1;18/10/2018
2045063;Explore City Center from an Elegant Urban Retreat;10485472;Drew And Tamar;l'Antiga Esquerra de l'Eixample;Entire home/apt;242;3;05/11/2018
2046026;BEAUTIFUL CENTRAL TERRACE APARTMENT;2489110;Yolanda;el Poble Sec;Entire home/apt;100;5;31/10/2018
2048372;Apt.en Passeig de Gracia (5pax) B6;10380563;Tendency;la Dreta de l'Eixample;Entire home/apt;132;3;13/08/2018
2048590;Apt.en Passeig de Gracia (4pax) B5;10380563;Tendency;la Dreta de l'Eixample;Entire home/apt;60;3;08/10/2018
2048862;Terrace, swimming pool and seaviews (6pax) S1;10380563;Tendency;el Poblenou;Entire home/apt;120;3;17/10/2018
2050353;GAUDI APARTMENT in SAGRADA FAMILIA;5277295;Domingo;la Sagrada Família;Entire home/apt;120;2;18/10/2018
